CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
616,AVENIDA,CAPDEVILA,CAPDEVILA y CONGRESO AV.,BICICLETA
617,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AUTO
618,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. 5958,MOTO
619,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y EREZCANO AV.,PEATON
620,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 14723",MOTO
621,AVENIDA,CORRIENTES AV.,CORRIENTES AV. 5783,PEATON
622,CALLE,TABARE,TABARE y EREZCANO,MOTO
623,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y PUEYRREDON AV.,MOTO
624,AVENIDA,CORRALES,"CORRALES y MORENO, PERITO AV.",BICICLETA
625,AUTOPISTA,AUTOPISTA ARTURO ILLIA,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),AUTO
626,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y VEDIA",PEATON
627,AVENIDA,"GARAY, JUAN DE AV.","GARAY, JUAN DE AV. 2269",AUTO
628,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",PEATON
629,AVENIDA,LA PLATA AV.,LA PLATA AV. 2723,AUTO
630,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 2906",AUTO
631,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y TONELERO",PEATON
632,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y LA PLATA AV.,PEATON
633,AVENIDA,LOPE DE VEGA AV.,"LOPE DE VEGA AV. y PAZ, GRAL. AV.",PEATON
634,AVENIDA,"BEIRO, FRANCISCO AV.","BEIRO, FRANCISCO AV. 5071",MOTO
635,AVENIDA,SANTA FE AV.,SANTA FE AV. 3428,PEATON
636,AVENIDA,"CHILAVERT, MARTINIANO, CORONEL","CHILAVERT, MARTINIANO, CORONEL y VARELA AV.",MOTO
637,CALLE,SAN LUIS,SAN LUIS 2730,PEATON
638,AVENIDA,CALLAO AV.,CALLAO AV. y PARAGUAY,PEATON
639,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y AGOTE, LUIS DR.",BICICLETA
640,CALLE,SALTA,SALTA y BRASIL,PEATON
641,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. 2152",MOTO
642,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. 1169,MOTO
643,AVENIDA,INDEPENDENCIA AV.,INDEPENDENCIA AV. y LA PLATA AV.,MOTO
644,CALLE,TUCUMAN,TUCUMAN 3112,PEATON
645,AVENIDA,ARENALES,ARENALES y 9 DE JULIO AV.,MOTO
646,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN,MOTO
647,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y PASCO,MOTO
648,AVENIDA,CABILDO AV.,CABILDO AV. y OLAZABAL,MOTO
649,AVENIDA,TAPALQUE,TAPALQUE y BRUIX AV.,AUTO
650,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y EZEIZA",MOTO
651,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PUAN,PEATON
652,CALLE,ESMERALDA,ESMERALDA 1359,PEATON
653,CALLE,MONROE,MONROE y 3 DE FEBRERO,MOTO
654,AVENIDA,GAONA AV.,GAONA AV. 3655,MOTO
655,AVENIDA,9 DE JULIO AV.,9 DE JULIO AV. y LAVALLE,PEATON
656,CALLE,BAIGORRIA,"BAIGORRIA y HUGO, VICTOR",MOTO
657,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PUEYRREDON AV.,PEATON
658,AVENIDA,RIESTRA AV.,RIESTRA AV. y MOM,MOTO
659,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.",MOTO
660,AVENIDA,GAONA AV.,GAONA AV. y TERRADA,MOTO
661,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 4071",AUTO
662,CALLE,PADRE CARLOS MUJICA,PADRE CARLOS MUGICA 709,BICICLETA
